"Id","Law Id","Title","Legislation type","Description","Parent","Geography","Geography iso","Sector","Frameworks","Responses","Document types","Keywords","Natural hazards","Visibility status"
"1044","","Feed-in Tariff Decree","executive","The Decree determined new feed-in tariffs for renewable electricity, including electricity produced from wind, biomass, biogas, landfill and sewage gas, geothermal and solar. Contracts for wind energy, solar, landfill and sewage gas and geothermal energy last 13 years, while contracts for biomass and biogas last 15 years. The tariff rates fixed under the scheme vary between €0.05/KWh for electricity generated from landfill gas to €0.25/KWh for solar energy.","","Austria","AUT","Waste;Energy","","","Decree/Order/Ordinance","Energy Supply","","published"
"1018","","Executive Decree 65/13 which approves the Regulation of the National Direction of Petroleum and Biofuel","executive","This Executive Decree approves the Regulation of the National Direction of Petroleum and Biofuel within the Ministry of Petroleum. The Regulation establishes composition, duties and responsibilities of the National Direction, entitled to promoting the implementation of the National Policy on Petroleum, for activities related to licensing, exploitation, development and production of petroleum, including processing and biofuel production. The Biofuels Department is in charge of updating and proposing new legislation to regulate the production of biofuels, as well as supervising research, licencing of biofuel production, and establishing incentive mechanisms for biofuel production.","","Angola","AGO","","","","Decree/Order/Ordinance","Energy Supply, Institutions / Administrative Arrangements, Research And Development","","published"
"9358","","Law No. 37/ May 2019","legislative","This law establishes provisions for the fulfilment of the obligations deriving from Italy's membership of the European Union. It notably establishes provisions regarding the participation of specific entities in the greenhouse gas emission allowance auctions (article 13).

It also ends the provisions on extending the incentive period for biomass, biogas and bioliquid plants by repealing paragraphs 149, 150 and 151 of article 1 of the law of 28 December 2015, n. 208.","","Italy","ITA","Energy","","Mitigation","Law","Mitigation, Industry","","published"
"8954","","Drainage and Flood Control Ordinance (Establishment of Drainage Authorities), 1960","executive","<div>The Drainage and Flood Control Ordinance of 1960 makes provisions for the establishment and management of drainage authorities for the areas listed in Annex 1. The Ordinance contains 62 articles, divided into 6 Chapters: Preliminary (1), Authority Members (2), Administration (3), Committees (4), employees (5) and Various Orders (6). <strong>Note: As the previous one, I included it because of the hazards, though it doesn't specifically mention climate change, might be out of scope. Also, the text is in Hebrew and the google translation didn't make much sense, we will need to get a proper translation in order to analyse.</strong></div>","","Israel","ISR","","","Adaptation","Decree/Order/Ordinance","Water Management","","published"
"9090","","Decree No. 308 creating the National Disaster Risk Management Plan and the Development Strategy for the period 2015-2025","executive","<div>This Decree adopts the National Disaster Risk Management Plan and Development Strategy for the period 2015-2025, according to the conceptual, programmatic, strategic and budgetary elements described in the respective document. The Plan has as a general objective to guide the actions of the State and civil society regarding risk awareness, risk reduction and disaster management in compliance with the National Risk Management Policy. It should also contribute to people's safety, welfare, quality of life and the sustainable development of the country.</div>","","Colombia","COL","","Drm/Drr","Adaptation, Disaster Risk Management","Decree","Disaster Risk Management","","published"
"9366","","Ministerial Decision No. 223/17 creating the Commission for a National Conference on Climate Change and Sustainable Development","executive","<div>This Ministerial Decision creates the Commission for a National Conference on Climate Change and Sustainable Development. It establishes the composition, duties and responsibilities of the above mentioned Commission, entitled to contribute to raising awareness of high-level policy makers on the need to integrate the climate component in sectoral planning for sustainable development, prepare the site and documents, ensure technical, material, logistical and human conditions and make the final report.</div>","","Angola","AGO","Economy-wide","","Mitigation, Adaptation","Resolution, Regulation/Rules","","","published"
"2017","","National Climate Resilience and Adaptation Strategy","executive","<div>The <a href=""https://www.environment.gov.au/system/files/resources/3b44e21e-2a78-4809-87c7-a1386e350c29/files/national-climate-resilience-and-adaptation-strategy.pdf"">National Climate Resilience and Adaptation Strategy</a> provides an overview of how Australia is managing climate risks, and identifies a set of principles to guide effective adaptation measures and resilience building. The strategy complements Australia's commitments to reduce GHG emissions to 26-28 % by 2030 compared to 2005 levels.<br>&nbsp;<br>&nbsp;<br>&nbsp;<br>&nbsp;<br>&nbsp;<br> The Strategy defines national climate resilience as having three main elements: ""global action to reduce emissions; effective adaptation research, planning and action at the national and sub-national levels; and programmes to limit or remove other human pressures on systems affected by climate change"" (p.13).<br>&nbsp;<br>&nbsp;<br>&nbsp;<br>&nbsp;<br> The Strategy includes a wide range of adaptation and resilience initiatives across key sectors, among others: coasts; cities and the built environment; agriculture, forestry and fisheries; water resources; natural ecosystems; health and wellbeing; and disaster risk management. It proposes four main priorities to guide engagement with business and civil society:<br>&nbsp;<br><br></div><div><br><br></div><ul><li>Understand &amp; communicate - improve understanding and awareness of climate change risks, and find the most effective options to manage the risks and their optimal timing;</li></ul><div><br><br></div><ul><li>Plan &amp; act - assess risks and available options, plan and implement responses to climate change risks;</li></ul><div><br><br></div><ul><li>Check &amp; reassess - regularly evaluate progress towards building resilience and climate change adaptation, including progress under the <a href=""https://www.environment.gov.au/climate-change/adaptation/publications/national-climate-change-adaptation-framework"">National Climate Change Adaptation Framework</a> (a non-binding framework from 2007);</li></ul><div><br><br></div><ul><li>Collaborate &amp; learn - cooperate to identify and remove barriers to action, identify emerging risks and interdependencies, and share learning and successes.</li></ul><div><br><br></div>","","Australia","AUS","Water;Transportation;LULUCF;Health;Coastal zones;Residential and Commercial;Agriculture","Adaptation","Adaptation, Disaster Risk Management","Strategy","","Flood, Drought, Erosion, Droughts, Soil Erosion, Change In Surface Water, Heat Waves, Storm, Floods, Heat Waves And Heat Stress, Surface Water Change, Cyclones, Tsunamis, Storms, Hurricanes, Sea Level Change, Changes In Average Temperature, Changes In Average Precipitation, Groundwater Change, Wildfires, Ocean Acidification, Wildfire","published"
"8771","","National Strategy for Disaster Resilience","executive","<div>The National Strategy for Disaster Resilience outlines the Australian government's overall approach to building resilience to disasters, including those related to climate change. Primarily, it emphasizes a collective responsibility in building resilience and therefore encourages capacity building through networks and partnerships between government, civil society, private sector, and a variety of other actors. More specifically, it also calls for creating a National Emergency Management Committee, improving land use and building practices, conducting risk assessments and risk mapping, as well as a number of other functions.</div>","","Australia","AUS","LULUCF;Residential and Commercial","Adaptation, Drm/Drr","Adaptation, Disaster Risk Management","Strategy","","Flood, Erosion, Soil Erosion, Storm, Floods, Cyclones, Tsunamis, Storms, Hurricanes, Sea Level Change, Wildfires, Wildfire","published"
"8594","","Act on investments in the field of wind power (Dz.U. 2016 pos. 961)","legislative","<div>The Act introduces changes to the real estate tax regime for wind power plants.</div>","","Poland","POL","Energy","","","Law","Energy Supply","","published"
"8571","","Regulation (EU) No 1293/2013 on the establishment of a Programme for the Environment and Climate Action (LIFE) and repealing Regulation (EC) No 614/2007","legislative","<div>Regulation No 1293/201 establishes a Programme for the Environment and Climate Action (LIFE) and repeals <a href=""http://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX%3A32007R0614"">Regulation (EC) No 614/2007</a>. The LIFE Programme covers the period from 1 January 2014 to 31 December 2020. A sub-programme for Climate Action is also set up. LIFE's objectives are:&nbsp;</div><ol><li><ol><li>to contribute to the shift towards a resource-efficient, low- carbon and climate- resilient economy, to the protection and improvement of the quality of the environment and to halting and reversing biodiversity loss, including the support of the Natura 2000 network and tackling the degra­ dation of ecosystems;</li><li>to improve the development, implementation and enforcement of Union environmental and climate policy and legislation, and to act as a catalyst for, and promote, the integration and mainstreaming of environmental and climate objectives into other Union policies and public and private sector practice, including by increasing the public and private sector's capacity;</li><li>to support better environmental and climate governance at all levels, including better involvement of civil society, NGOs and local actors;</li><li>to support the implementation of the 7th Environment Action Programme.The Programme's budget for the period from 2014 to 2020 is set at EUR 3 456 655 000.</li></ol></li></ol>","","European Union","EUR","Environment;Transportation;Economy-wide","","Adaptation","Eu Regulation","Redd+ And Lulucf, Energy Supply, Energy Demand","","published"
"8569","","Regulation (EC) No 106/2008 on a Community energy-efficiency labelling programme for office equipment","legislative","<div>The present regulation establishes a Community energy-efficiency labelling programme for office equipment. It is a recast of Regulation (EC) No 2422/2001. In order to promote the energy efficiency criteria, the Commission and the other Community institutions shall specify energy-efficiency requirements not less demanding than the Common Specifications for public supply contracts having a value equal to or greater than the thresholds laid down in Article 7 of that Directive.</div>","","European Union","EUR","Energy","","","Eu Regulation","Energy Demand","","published"
"8568","","Commission Decisions 2009/300/EC and 2018/59 on the ecological criteria for the award of the Community Eco-label to televisions","legislative","<div>The Commission Decision 2009/300/EC establishes the revised ecological criteria for the award of the Community Eco-label to televisions. In line with <a href=""http://eur-lex.europa.eu/legal-content/EN/TXT/?uri=celex:32010R0066"">Regulation (EC) No 66/2010</a> on Eco-Labelling, one of the key criterion to gain the label is energy efficiency. The document specifies that the manufacturer shall display the information that energy efficiency cuts energy consumption and thus saves money by reducing electricity bills. Commission Decision 2018/59 tightens the maximum energy consumption and specifications of the Energy Efficiency Index set out in Decision 2009/300/EC.</div>","","European Union","EUR","Energy","","","Eu Decision","Institutions / Administrative Arrangements, Energy Demand","","published"
"1073","","Act on Biofuel Blending Obligation","legislative","<div>The Act provides for companies that sell petrol E5 or E10 or diesel oil to integrate in the fuel mix a volume of sustainable biofuels within one calendar year. The quota obligation applies to all registered oil companies offering petrol or diesel products for consumption. The providers of petrol E5 or E10 or diesel fuels have to ensure that biofuels make up a certain volume (see below) of the company's total annual sale of fuel by the end of each calendar year. The following volumes apply: E5: 4% v/v, E10: 9% v/v, and Diesel: 6% v/v. If a provider fails to fulfil the quota, they must pay a fine of EUR900 (USD1,129) per 1,000 litres of biofuels that was not blended with the annual amount of petrol or diesel products sold.</div>","","Belgium","BEL","","","Mitigation","Law","Transportation","","published"
"1102","","Forestry Act and National Strategy for the Development of the Forest Sector 2013-2020","legislative","<div>""""The Act sets up a basic framework for the conservation of forests and (consequently) the support of the functions of ‘forest areas', which include 'climate regulation and carbon absorption'. Especially relevant for forest restoration and indirectly for CO2 absorption is the chapter on 'Afforestation and protection of forest areas against erosion and floods'.<br>&nbsp;<br>&nbsp;The Act further mandates elaboration of the National Strategy for Development of the Forestry Sector.""</div>","","Bulgaria","BGR","Water;Transportation;LULUCF","","","Strategy, Law","Redd+ And Lulucf","","published"
"1103","","Energy from Renewable Sources Act","legislative","<div>The Energy from Renewable Sources Act replaces the Renewable and Alternative Energy Sources and Biofuels Act (2008), which was the first national legislation entirely dedicated to the renewable energy sources, mainly introducing the requirements of the related EU directives. The 2008 Act established support mechanisms that provided for 'equal preferential treatment for producers of electricity (green certificates); mandatory inclusion of utilities generating electricity from RES and biofuels into the national grid; establishing preferential prices for purchasing energy generated from RES (feed-in tariffs); and reducing the administrative burden on producers. The Act resulted in a rapid development of RES (wind and photovoltaic), which put upward pressure on electricity prices. As a result in June 2011 the Parliament adopted the Energy from Renewable Sources Act. The new legislation kept RES preferential treatment options but introduced a preference for energy from biomass and shifted the balance of power from RES producers to grid operators and allowed for a substantial reduction of the prices of energy from photovoltaic (PV)'.</div>","","Bulgaria","BGR","Energy","","","Law","Energy Supply","","published"
"1107","","Energy Efficiency Act (repeals the Law on Energy Efficiency 2004)","legislative","<div>This Act, implementing EU energy efficiency directives, lays down the foundations of the energy efficiency policy. It aims to promote energy efficiency through a system of measures for enhancing security of energy supply, competition in the energy sector and environment protection. It also mandates the Council of Ministers to submit the National Energy Efficiency Strategy to the National Assembly for adoption and elaborates regularly National Action Plans for Energy Efficiency. The most recent plan included national indicative targets for energy savings by 2016 of at least 9% of final energy consumption for 9 years (average 1% per year), to be achieved thanks to obligation to adopt municipal energy efficiency programmes, requirements for energy efficiency labelling, use of minimum standards for energy efficient appliances, energy efficiency labelling, obligatory audits and amendments of the Energy Performance Standards for existing buildings. The Minister of Economy and Energy is responsible for implementing policy on energy efficiency improvement.<br>&nbsp;<br>&nbsp;The Act further provides for: energy efficiency improvement activities and measures and provision of energy services; creation of a national information system for ensuring accessibility and availability of information on the condition of energy efficiency; funding mechanisms for energy efficiency improvement and energy savings certificates; energy efficiency control; and administrative penalty provisions.<br>&nbsp;<br>&nbsp;It creates the Energy Efficiency and Renewable Sources Fund, with the income mainly raised from grants from international financial institutions, international funds, Bulgarian and foreign natural or legal persons, with a mandate to support a broad range of investments, with priority funding for 'a) implementation of measures to increase energy efficiency in end-use; b) use of renewable energy in final energy consumption'.<br>&nbsp;<br>&nbsp;The Act also introduces Energy Service Companies and proposes specific activities and measures for improving energy efficiency and energy services (introduced by amendments in 2013), such as 'certification for energy efficiency of new buildings; inspection and certification for energy efficiency of buildings in operation; survey of industrial systems; inspection for energy efficiency of heating systems with boilers and air conditioning systems in buildings; managing energy efficiency; and improvement of the energy performance of the outdoor lighting'.</div>","","Bulgaria","BGR","Industry;Energy;Residential and Commercial","","","Law","Institutions / Administrative Arrangements, Energy Demand","","published"
"1110","","Spatial Planning Act","legislative","<div>Spatial Planning Act regulates the procedures for preparation, approval and amendment of general and detailed spatial development plans of settlements. The bylaws issued on the basis of the Spatial Planning Act lay down the standards of urban planning and development of land.<br>&nbsp;<br>&nbsp;Based on the Spatial Planning Act was developed the National Concept for Spatial Development for 2013-2025 (5 November 2012), which outlines the directions for land-use planning, governance and protection of the national territory and creates preconditions for spatial orientation and coordination of sectorial policies. The main objective of the Concept is 'spatial co-ordination of the processes in the national territory through establishing a spatial and land-use planning base and a regulator for implementation of both regional planning and individual socio-economic sectoral planning at the national level in the context of the common European spatial development for the purposes of achieving complex integrated planning'. The Concept integrates climate change mitigation and adaptation concerns, especially through considering among the major directions of development of the agrarian and forestry sector 'sustainable use and management of natural resources - promotion of practices contributing to adaptation to climate change and compatible with protection and improvement of the environment, natural resources, soils and genetic diversity', taking into account the GHG emissions reduction potential of forests, as well as the importance of spatial planning for improving climate adaptation capacity (e.g. reduction of occurrence of natural disasters).</div>","","Bulgaria","BGR","Urban;LULUCF","","Adaptation, Disaster Risk Management","Law","Redd+ And Lulucf, Institutions / Administrative Arrangements","","published"
"1118","","Colombian Low-Carbon Development Strategy","executive","<div>The Colombian Low-Carbon Development Strategy (ECDBC) was launched in February 2012 as a tool to deliver the objectives of the National Development Plan 2011-2014 and the CONPES Document on Climate Change by promoting efficient low-carbon growth. It foresees the identification of a GHG emissions baseline and the formulation and implementation of low-carbon development plans for the sectors of energy, mining, agriculture, transportation, industry, waste and construction. On the basis of these results appropriate NAMAs and projects will be put in place. With the support of the EU, the UK and the Children's Investment Fund Foundation, UNDP will contribute to the implementation of the Strategy by providing information for the development of emissions baselines and of cost-effective action plans and public policies. It will also strengthen the capacity of the ministries to integrate low-carbon aspects into their activities.<br>&nbsp;<br>&nbsp;The LCDS seeks to explore ways in which Colombia can contribute to the challenge of mitigating global climate change, while adapting to the impacts of changing climatic conditions domestically. Colombia sees potential co-benefits in terms of the LCDS contributing to economic, social and environmental goals. For instance, in terms of economic competitiveness it sees potential gains by increasing energy efficiency and hence production costs. Planning documents publicly available on the LCDS refer to the development of working groups to examine the potential mitigation and adaptation benefits in each sector of the economy, in addition to production of sector-specific abatement curves.</div>","","Colombia","COL","Waste;Transportation;Industry;Energy;Economy-wide;Agriculture","","Mitigation, Adaptation","Strategy","Energy Supply","","published"
"1200","","Common Agricultural Policy 2014-2020 (Regulations no 1307/2013, no 1308/2013, no 1305/2013, no 1306/2013)","legislative","<div>The CAP has been reformed by strengthening its greening aspects. Climate mitigation and adaptation are explicitly among the key objectives of the CAP, which accounts for about 30% of the overall EU budget/ MFF 2014-2020. The greening measures in the CAP 2014-2020 particularly increase the carbon sink by encouraging more grassland, the protection of forest cover and address the challenges of soil quality. It makes direct payments to farmers conditional upon compliance with greening measures, which account for 30% of the overall direct payments (pillar I). These measures include crop diversification, conserving 5% (and later 7%) of areas of ecological interest and maintaining permanent grassland. 30% of the budget within the rural development programmes (pillar II) is to be dedicated to agri-environmental measures, projects related to environmentally friendly investment or innovation measures as well as to support for organic farming. It further improves agri-environmental measures via higher environmental protection targets.</div>","","European Union","EUR","Transportation;LULUCF;Agriculture","","","Eu Regulation","Redd+ And Lulucf, Institutions / Administrative Arrangements","","published"
"1217","","EU Emission Trading Scheme (EU ETS) (Directive 2003/87/EC establishing a scheme for greenhouse gas emission allowance trading within the Community and amending Council Directive 96/61/EC)","legislative","<div>This Directive establishes a Community GHG emissions trading scheme from 2005, to enable the Community and the Member States to meet their Kyoto Protocol commitments. Directive 2004/101/EC reinforces the link between the EU's emission allowance trading scheme and the Kyoto Protocol by making the latter's 'project-based' mechanisms (Joint Implementation and the Clean Development Mechanism) compatible with the scheme. From 2005, all installations in the energy sector, iron and steel production and processing, the mineral industry, and the wood pulp, paper and board industry, and emitting the specific GHG associated with that activity, must possess a permit issued by the appropriate authorities. Each Member State must draw up a national plan indicating the allowances it intends to allocate for the relevant period and how it proposes to allocate them to each installation. The Directive also provides for flights that arrive or depart from a Member State's territory to be subject to the EU ETS (from 2012), measure that so far applies to intra-EU flights. Any operator failing to surrender the quantity of allowances commensurate with the emissions from his/her installation during the previous year will have to pay EUR100 (USD 125) per tCO2e and buy allowances for the excess emissions. The 2003 Directive was amended by Directive 2004/101/EC, Directive 2008/101/EC, Regulation (EC) No 219/2009, <a href=""http://www.lse.ac.uk/GranthamInstitute/law/revision-of-the-eu-emission-trading-system-eu-ets-directive-200929ec-amending-directive-200387ec-so-as-to-improve-and-extend-the-greenhouse-gas-emission-allowance-trading-scheme-of-the-communit/"">Directive 2009/29/EC</a>, Decision No 1359/2013/EU, <a href=""http://eur-lex.europa.eu/legal-content/en/TXT/?uri=CELEX:32013R0389"">Commission Regulation (EU) No 389/2013</a>, Regulation (EU) No 421/2014 and <a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX:32017R2392"">Regulation (EC) 2017/2392</a>. Directive 2009/29/EC amends Directive 2003/87/EC so as to improve and extend the greenhouse gas emission allowance trading scheme of the Community. Directive (EU) 2018/410 was adopted in March 2018 to enhance cost-effective emission reductions and low-carbon investments.</div>","","European Union","EUR","Transportation;Industry;Energy","","Mitigation","Eu Directive","Transportation, Carbon Pricing, Energy Supply, Institutions / Administrative Arrangements","","published"
"1403","","National Plan for Biofuels and Biomass (CIPE resolutions: 15/02/2000 )","executive","<div>The Biomass Fuels National Plan (PROBIO) aims to promote the deployment of biomass to replace fossil fuels through incentive systems. This is projected to affect mainly the agricultural, transportation and energy sectors.<br>&nbsp;<br>&nbsp;It represents the first operative tool of the two CIPE resolutions 'National Programme for the Valorisation of Agricultural and Forestry Biomass (PNVBAF)' and the 'National Programme for the Energy Valorisation of Biomass (PNERB)', which set goals for the reduction of GHGs (3-4% by 2010/12), the production of renewable energy from agro-forestry products and by-products, the development of eco-compatible agricultural methods and increased use of energy crops.</div>","","Italy","ITA","Transportation;LULUCF;Energy;Agriculture","","Mitigation","Plan","Redd+ And Lulucf, Energy Supply","","published"
"1518","","White Paper on Climate Change Adaptation, Meld St. 33 (2012-2013)","executive","<div>The White Paper states that everyone is responsible for climate change adaptation - individuals, business and industry and the authorities. It provides an account of what Norwegian authorities are doing to enable everyone to assume responsibility for climate change adaptation as effectively as possible, and establish a common framework for climate change adaptation across sectors and administrative levels.<br>&nbsp;<br>&nbsp;The White Paper states that projections on future climate and knowledge are essential for effective climate change adaptation. Adaptation work must always be based on the best available knowledge about climate change and how changes can be addressed. The government intends to ensure that the knowledge base for climate change adaptation is strengthened through closer monitoring of climate change, continued expansion of climate change research and the development of a national centre for climate services.<br>&nbsp;<br>&nbsp;According to the White Paper, adaptation policies and measures should build on the best available knowledge. Thus, the government plans for regular assessments of vulnerability and adaptation needs in Norway. Such assessments will be made if substantial new knowledge is available, related e.g. to the release of the assessment reports of the IPCC.</div>","","Norway","NOR","Transportation;Industry","Adaptation","Adaptation","Policy","","Droughts, Changes In Average Precipitation, Landslides, Flooding, Avalanches, Ocean Acidification","published"
"1520","","Electricity Certificates Act, No. 39 of 2011","legislative","<div>The purpose of the Act is to contribute to increased generation of electrical energy from renewable energy sources. It establishes a system of green certificates in Norway which are issued by the Norwegian state to renewable energy producers. Green certificates may be traded and they are subject to a quota obligation.</div>","","Norway","NOR","Energy","","","Law","Energy Supply","","published"
"1522","","Value Added Tax (VAT) Act No. 58 of 2009","legislative","<div>Under the previous VAT Act of 1969, zero VAT rating for the supply and import of electric vehicles was adopted by the Norwegian Parliament in 2001. In 2013, the Norwegian Parliament adopted amendments to the current VAT Act and the VAT Regulation concerning electric vehicles, which involve an extension of the zero rating to the leasing of electric vehicles and to the sale and import of batteries for electric vehicles.</div>","","Norway","NOR","Transportation","","","Law","Institutions / Administrative Arrangements, Energy Demand","","published"
"1524","","Greenhouse Gas Emission Trading Act, No. 99 of 2004","legislative","<div>The Act aims to limit emissions of GHGs in a cost-effective manner by means of a system involving the duty to surrender GHG emission allowances and freely transferable emission allowances.<br>&nbsp;<br>&nbsp;It establishes government authority over the number of allowances to be allocated and which of these allowances will be issued free of charge. It regulates reporting and control related to emissions and allowances and sets out penal measures for those operators not complying with reporting obligations.<br>&nbsp;<br>&nbsp;It authorises the Norwegian Emissions Trading Registry to contain information on the allocation, issue, holding, transfer, surrender and cancellation of allowances. The pollution control authorities will control and verify the reports on GHG emissions submitted by each operator.</div>","","Norway","NOR","","","","Law","Carbon Pricing","","published"
"1523","","Planning and Building Act No. 71 of 2008","legislative","<div>This act aims to promote sustainable development in the best interests of individuals, society and future generations. All plans made under the act are to take the climate into account in energy supply and transport solutions.</div>","","Norway","NOR","Transportation;Energy","","Mitigation","Law","Transportation, Energy Supply, Institutions / Administrative Arrangements","","published"
"1525","","The Energy Act, No. 50 of 1990","legislative","<div>The Act covers the generation, conversion, transmission, trading, distribution and use of energy in Norway. It regulates exports and imports, the licensing, metering and settlements of power trading, energy pricing, and responsibilities for energy system operations, rationing and supply quality. It also includes provisions for energy efficiency.<br>&nbsp;<br>&nbsp;It establishes the role of the Power Supply Preparedness Organisation in controlling power supplies in states of emergency, as well as taking on some responsibilities during peacetime.<br>&nbsp;It confirms the authority of the government to make decisions regarding the protection of power supply installations against damage, as well as to set out contingency measures and orders to this end.</div>","","Norway","NOR","Energy","","","Law","Energy Supply, Institutions / Administrative Arrangements","","published"
"1526","","Product Control Act No. 79 of 1976","legislative","<div>The purpose of the act is to prevent products from causing environmental disturbance, for example in the form of disturbance of ecosystems, pollution, waste, noise and the like, and to prevent environmental disturbance by promoting effective energy use in products and to prevent products or consumer services from causing damage to health; this includes ensuring that consumer products and services are safe,</div>","","Norway","NOR","Waste;Urban;Health;Energy","","","Law","Energy Demand","","published"
"1560","","Polish National Strategy for Adaptation to climate Change (SAP 2020)","executive","<div>The SAP 2020 foresees mainstreaming the adaptation programme into sectoral policies, primarily those related to agriculture and forestry, biodiversity, ecosystems and water resources, coastal zones, infrastructure and, subsequently, the preparation of a draft programme for their implementation.<br>&nbsp;<br>&nbsp;The Strategy presents an analysis of current climate change and the development of future change scenarios for Poland up to the end of the 21st century. It also assesses the impact of expected change in the socioeconomic area, and the vulnerability of various sectors of the economy.<br>&nbsp;<br>&nbsp;The implementation of the SAP 2020 involves 3 stages: the elaboration of the Strategic Adaptation Plan taking into account climate change in the reference period of 1971-2000; the preparation of the Strategic Adaptation Plan for a long-term period, taking into account expected climate change up until 2070-2100; and cost estimation.</div>","","Poland","POL","Environment;Water;LULUCF;Economy-wide;Coastal zones;Agriculture","Adaptation","Adaptation","Strategy","Institutions / Administrative Arrangements, Research And Development","Droughts, Soil Erosion, Floods, Heat Waves And Heat Stress, Cyclones, Tsunamis, Storms, Hurricanes, Wildfires, Sea Level Rise, Cold Waves, Landslides, Hail/Frost","published"
"2005","","Energy Law (Dz.U. 1997 nr 54 poz. 348)","legislative","<div>This law (with later amendments, lastly in September 2015) defines the principles of state energy policy, conditions for the supply and use of fuels and energy, and the framework for activities of energy companies. It also specifies the authorities responsible for the management of fuels and energy. Among others, it established the basis for independent electricity and gas production and access of independent power producers to the grid, principles for least cost and integrated resource planning, support to high efficiency heat and power production, demand side management and energy efficiency labels.<br>&nbsp;It facilities the production of electricity from renewable energy sources (up to 5MW), making them eligible to benefit from a reduced grid connection fee and exempt from paying annual licence fees. Energy providers are allowed to incorporate costs of developing renewable energy into their tariff regimes. Since 1 October 2005, energy enterprises that generate, trade or purchase electricity are obliged to purchase or generate a certain amount of electricity from renewable sources of energy. The obligation will be met through the acquisition and redemption of certificates of origin that certify electricity produced from renewable sources. Transmissions and distribution operators are obliged to accept renewable sources of energy. Similar scheme for heat produced from renewable energy sources entered into force on 1 January 2007.<br>&nbsp;The amendment of 26 July of 2013 simplified the setting up a micro-installation (renewable energy sources with no more than 40kW of total installed electrical capacity, connected to electrical grid of a voltage lower than 110kV or no more than 120 kW of total installed heat capacity). Applications to connect a micro-installation to the grid will no longer be subject to a connection fee nor required to attach documents confirming the admissibility of locating the installation in the investment area. In some cases, there will be no need for an interconnection agreement. It also expands the definition of renewable energy sources to aerothermal and hydrothermal, it provides the protection of vulnerable consumers, as well as support for energy-intensive industries.<br>&nbsp;In order to make the gas market more transparent and competitive, the Small Tri-Pack imposes the obligation to sell at least 30% (40% since 2014 and 55% since 2015) of the gas at the exchange markets. The Act also exempts people producing energy from renewable resources for their own purposes from the obligation to obtain the license for the power supply.<br>&nbsp;The amendment to the Energy Law from 26 September 2015 introduces measures necessary for the application of the 'REMIT Regulation' of the European Parliament and the Council Regulation no. 1227/2011 (25 October 2011) on the wholesale energy market integrity and transparency. It establishes a legal framework necessary for monitoring the practices of wholesale energy market participants, as well as detecting and deterring fraudulent practices in this sector.</div>","","Poland","POL","Energy","","","Law","Energy Supply, Institutions / Administrative Arrangements, Energy Demand","","published"
"2009","","Act on Biocomponents and Liquid Biofuels (Dz.U. 2006 nr 169 poz. 1199)","legislative","<div>This Act (last amended in January 2015) establishes that the producers, importers and suppliers of fuels are obliged to meet an annual quota of biofuels in the total amount of liquid fuels produced, supplied and imported. The obligation levels are determined every three years for a period of six years by the Council of Ministers.<br><br>&nbsp;The following biocomponents are eligible: bioethanol, biomethanol, biobutanol, ester dimethylether, pure vegetable oil, bio liquid hydrocarbons, bio propane-butane, liquefied biomethane, compressed biomethane and biohydrogen, which are produced from biomass for use in the manufacture of liquid fuels or biofuels (art. 2 par. 1 no. 3). The biocomponents and bioliguids can only count towards the quota and be eligible for financial support, if they meet the sustainability criteria set out within the recognized certification system (art. 28b-28c) approved by the European Commission, including GHG emission reduction, protection of land with high biodiversity value, peatland protection and sustainable farming criteria (art. 28a).<br><br>The Act is detailed by Regulation of 23 July 2013 on the National Indicative Targets for 2013-2018). The Regulation established that the obliged companies have to ensure that biofuels make up the following quotas of the company's total annual sale or consumption of fuel: 7.10% between 2013 and 2016, 7.80% in 2017 and 8.50% in 2018.<br><br>This document was amended by the Act no. 1356/2019 ""amending the act on biocomponents And liquid biofuels and some other Acts"", notably to establish the Low-Emission Transport Fund.</div>","","Poland","POL","Environment;Transportation;Energy;Agriculture","","Mitigation","Law","Energy Supply","","published"
"8279","","Decree-Law 64/2017 on biomass plants as amended by Decree-Law 120/2019","executive","<div>The Decree puts in place a new legal regime for the implementation and running of biomass plants by municipalities and their eventual subsidiaries. The biomass included can originate from agriculture, from energy crops, or be residual forest biomass. The overall limit of this new regime is limited to 60 MW, with a maximum of 15 MW per plant. Successful projects must consider proximity to fire risk zones, connection to the grid, its proximity to other projects using biomass, and its potential developments.<br><br>The Decree was amended by Decree 120/2019 to change the special and extraordinary regime for the installation and operation of new biomass recovery plants.&nbsp;</div>","","Portugal","PRT","LULUCF;Energy;Agriculture","","","Decree Law","Energy Supply, Institutions / Administrative Arrangements","","published"
"8599","","Decrees 1625/2016 and 926/2017 on carbon tax","executive","<div>Decree 1625/2016 added part nine of law 1819/2016 (articles 221 to 223) to institute a national carbon tax. Decree 926/2017 amended the law articles.</div>","","Colombia","COL","Transportation","","","Decree/Order/Ordinance","Carbon Pricing","","published"
